ad_exposures,ad_impressions
1,100696
2,82840
3,82710
4,87336
5,101755
6,117846
7,123739
8,126528
9,131076
10,137580
11,146212
12,157752
13,165685
14,165858
15,174495
16,186368
17,193052
18,195714
19,203186
20,196980
21,204981
22,209594
23,211347
24,212544
25,213725
26,221988
27,219267
28,224616
29,224344
30,216150
31,218488
32,216960
33,215556
34,215390
35,210280
36,209484
37,212935
38,212496
39,204048
40,203320
41,204795
42,209076
43,202401
44,205436
45,209160
46,207644
47,205108
48,210480
49,213248
50,207550
51,213129
52,210184
53,210781
54,214974
55,215160
56,212408
57,214548
58,216630
59,214111
60,214560
61,215574
62,217620
63,217980
64,217344
65,217100
66,219978
67,217013
68,217396
69,214521
70,216370
71,224005
72,217224
73,227249
74,218818
75,221325
76,217664
77,213059
78,219804
79,220094
80,216720
81,220158
82,217054
83,218456
84,210420
85,212840
86,219128
87,217761
88,216304
89,214134
90,223380
91,207662
92,204516
93,212970
94,207834
95,211375
96,202848
97,209035
98,205016
99,208890
100,203500
101,204323
102,203082
103,200850
104,206544
105,204960
106,193450
107,197950
108,190512
109,189224
110,202290
111,202131
112,190624
113,199445
114,196080
115,193890
116,182352
117,192231
118,198240
119,194208
120,197280
121,196625
122,191662
123,188559
124,195424
125,186750
126,193158
127,191770
128,189440
129,196209
130,190060
131,190736
132,200508
133,203357
134,195506
135,189810
136,190128
137,191663
138,187404
139,190291
140,192360
141,190773
142,188860
143,184756
144,194688
145,191980
146,193888
147,195804
148,184852
149,200554
150,195900
151,192374
152,197600
153,196911
154,190806
155,204755
156,202020
157,199547
158,205242
159,208449
160,198880
161,196098
162,197478
163,204076
164,200736
165,191400
166,189406
167,187040
168,208320
169,194519
170,199070
171,198360
172,213968
173,204832
174,211236
175,207550
176,206448
177,196470
178,200428
179,212473
180,212220
181,207969
182,209846
183,212463
184,208656
185,221260
186,217620
187,211684
188,225788
189,216783
190,215650
191,208763
192,209280
193,211528
194,219220
195,201630
196,216972
197,223595
198,208098
199,217706
200,219600
201,202608
202,221998
203,223909
204,217056
205,220990
206,224746
207,209898
208,224224
209,217778
210,220500
211,214798
212,212424
213,227484
214,228124
215,215215
216,213624
217,226982
218,219090
219,218781
220,231000
221,228072
222,220668
223,229244
224,215936
225,235800
226,231650
