 Budget,Reach
0,0
10000,0.0287
20000,0.0374
30000,0.0432
40000,0.0476
50000,0.0511
60000,0.054
70000,0.0565
80000,0.0587
90000,0.0606
100000,0.0623
110000,0.0639
120000,0.0653
130000,0.0666
140000,0.0678
150000,0.069
160000,0.07
170000,0.071
180000,0.0719
190000,0.0728
200000,0.0736
210000,0.0744
220000,0.0751
230000,0.0758
240000,0.0765
250000,0.0772
260000,0.0778
270000,0.0784
280000,0.0789
290000,0.0795
300000,0.08
310000,0.0805
320000,0.081
330000,0.0814
340000,0.0819
350000,0.0823
360000,0.0827
370000,0.0831
380000,0.0835
390000,0.0839
400000,0.0843
410000,0.0846
420000,0.085
430000,0.0853
440000,0.0857
450000,0.086
460000,0.0863
470000,0.0866
480000,0.0869
490000,0.0872
500000,0.0875
510000,0.0878
520000,0.088
530000,0.0883
540000,0.0886
550000,0.0888
560000,0.0891
570000,0.0893
580000,0.0895
590000,0.0898
600000,0.09
610000,0.0902
620000,0.0904
630000,0.0906
640000,0.0909
650000,0.0911
660000,0.0913
670000,0.0915
680000,0.0917
690000,0.0918
700000,0.092
710000,0.0922
720000,0.0924
730000,0.0926
740000,0.0928
750000,0.0929
760000,0.0931
770000,0.0933
780000,0.0934
790000,0.0936
800000,0.0937
810000,0.0939
820000,0.0941
830000,0.0942
840000,0.0944
850000,0.0945
860000,0.0947
870000,0.0948
880000,0.0949
890000,0.0951
900000,0.0952
910000,0.0953
920000,0.0955
930000,0.0956
940000,0.0957
950000,0.0959
960000,0.096
970000,0.0961
980000,0.0962
990000,0.0964
1000000,0.0965
