Platform,Demographic,Key,30Sec CPM,15Sec CPM,Other Sec CPM
Linear TV Metro & Regional,P25-54,Linear TV Metro & RegionalP25-54,75.83,45.5,45.5
Linear TV Metro,P25-54,Linear TV MetroP25-54,84.4,50.64,50.64
Linear TV Regional,P25-54,Linear TV RegionalP25-54,37.82,22.69,22.69
Linear TV Metro 5 Cap Seven Network,P25-54,Linear TV Metro 5 Cap Seven NetworkP25-54,109.73,65.84,65.84
Linear TV Metro 5 Cap Nine Network,P25-54,Linear TV Metro 5 Cap Nine NetworkP25-54,88.53,53.12,53.12
Linear TV Metro 5 Cap Ten Network,P25-54,Linear TV Metro 5 Cap Ten NetworkP25-54,57.82,34.69,34.69
Linear TV Metro 5 Cap SBS Network,P25-54,Linear TV Metro 5 Cap SBS NetworkP25-54,63.3,37.98,37.98
Linear TV Regional 4 Seven Network,P25-54,Linear TV Regional 4 Seven NetworkP25-54,48.1,28.86,28.86
Linear TV Regional 4 Nine Network,P25-54,Linear TV Regional 4 Nine NetworkP25-54,33.83,20.3,20.3
Linear TV Regional 4 Ten Network,P25-54,Linear TV Regional 4 Ten NetworkP25-54,49.07,29.44,29.44
Linear TV Regional 4 SBS Network,P25-54,Linear TV Regional 4 SBS NetworkP25-54,28.36,17.0175,17.0175
Foxtel Linear,P25-54,Foxtel LinearP25-54,43,26,26
YouTube Instant Reserve,P25-54,YouTube Instant ReserveP25-54,16.64,14.78,14.78
YouTube Select,P25-54,YouTube SelectP25-54,40.74,31.02,31.02
YouTube OMG Line Ups,P25-54,YouTube OMG Line UpsP25-54,22.63,22.63,22.63
YouTube Vevo,P25-54,YouTube VevoP25-54,32.26,32.26,32.26
Nine Now,P25-54,Nine NowP25-54,39,28,28
Ten Play,P25-54,Ten PlayP25-54,34,28,28
Seven Plus,P25-54,Seven PlusP25-54,44,31,31
SBS On Demand,P25-54,SBS On DemandP25-54,44,44,44
Kayo,P25-54,KayoP25-54,39,33,33
Foxtel Go,P25-54,Foxtel GoP25-54,36,25,25
Binge,P25-54,BingeP25-54,51,36,36
Netflix,P25-54,NetflixP25-54,45,36,36
Amazon Prime,P25-54,Amazon PrimeP25-54,41,41,41
Samsung In-Stream,P25-54,Samsung In-StreamP25-54,33,28.05,28.05
ESPN Kayo,P25-54,ESPN KayoP25-54,40,30,30
Tubi,P25-54,TubiP25-54,27,25,25
Cinema Val Morgan MAP,P25-54,Cinema Val Morgan MAPP25-54,245,172,172
Cinema Val Morgan Roadblock,P25-54,Cinema Val Morgan RoadblockP25-54,196,137,137
Linear TV Metro & Regional,P18-44,Linear TV Metro & RegionalP18-44,92.17,55.3,55.3
Linear TV Metro,P18-44,Linear TV MetroP18-44,105.32,63.19,63.19
Linear TV Regional,P18-44,Linear TV RegionalP18-44,46.28,27.77,27.77
Linear TV Metro 5 Cap Seven Network,P18-44,Linear TV Metro 5 Cap Seven NetworkP18-44,130.58,78.35,78.35
Linear TV Metro 5 Cap Nine Network,P18-44,Linear TV Metro 5 Cap Nine NetworkP18-44,114.45,68.67,68.67
Linear TV Metro 5 Cap Ten Network,P18-44,Linear TV Metro 5 Cap Ten NetworkP18-44,71.82,43.09,43.09
