Weeks,Select Provider,Linear TV Metro & Regional,Linear TV Metro,Linear TV Regional,Linear TV Metro 5 Cap Nine Network,Linear TV Metro 5 Cap SBS Network,Linear TV Metro 5 Cap Seven Network,Linear TV Metro 5 Cap Ten Network,Linear TV Regional 4 Nine Network,Linear TV Regional 4 SBS Network,Linear TV Regional 4 Seven Network,Linear TV Regional 4 Ten Network,Foxtel Linear,Nine Now,Ten Play,Seven Plus,SBS On Demand,Kayo,Foxtel Go,Binge,Netflix,Optus Sport,Amazon Prime,Samsung In-Stream,YouTube TrueView,YouTube Instant Reserve,YouTube Select,YouTube OMG Select,YouTube OMG Line Ups,Cinema Val Morgan,ESPN Kayo,Tubi
1 Week,1,0.753424658,0.788614284,0.775837623,0.753424658,0.753424655,0.753424658,0.753424657,0.775837623,0.775837623,0.775837623,0.775837623,0.788614284,0.569448661,0.534758184,0.550000006,0.666448078,0.55,0.549999994,0.549999994,0.549999999,0.6,0.600672898,0.45370001,0.892873113,0.53,0.6124858,0.186853493,0.6124858,0.33,0.55,0.55
2 Weeks,1,0.876712329,0.894307142,0.887918812,0.876712329,0.876712327,0.876712329,0.876712328,0.887918812,0.887918812,0.887918812,0.887918812,0.894307142,0.78472433,0.767379092,0.775000003,0.833224039,0.775,0.774999997,0.774999997,0.774999999,0.8,0.800336449,0.726850005,0.946436557,0.765,0.8062429,0.593426747,0.8062429,0.593426747,0.775,0.775
3 Weeks,1,0.938356165,0.947153571,0.943959406,0.938356164,0.938356164,0.938356164,0.938356164,0.943959406,0.943959406,0.943959406,0.943959406,0.947153571,0.892362165,0.883689546,0.887500002,0.916612019,0.8875,0.887499998,0.887499998,0.8875,0.9,0.900168224,0.863425003,0.973218278,0.8825,0.90312145,0.796713373,0.90312145,0.796713373,0.8875,0.8875
4 Weeks,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5 Weeks,1,1.025684932,1.032722857,1.030167524,1.025684932,1.025684932,1.025684932,1.025684932,1.030167524,1.030167524,1.030167524,1.030167524,1.032722857,1.021962518,1.022772385,1.025,1.05675857,1.025,1.025,1.025000001,1.024999999,1.052797845,1.025,1.025000001,1.034441627,1.034441627,1.006217341,1.006217341,1.006217341,1.006217341,1.025,1.025
6 Weeks,1,1.051369863,1.065445713,1.060335049,1.051369863,1.051369863,1.051369863,1.051369863,1.060335049,1.060335049,1.060335049,1.060335049,1.065445713,1.043925037,1.045544769,1.05,1.113517139,1.05,1.050000001,1.050000002,1.049999999,1.105595691,1.049999999,1.050000002,1.068883255,1.068883255,1.012434681,1.012434681,1.012434681,1.012434681,1.05,1.05
7 Weeks,1,1.077054795,1.09816857,1.090502573,1.077054795,1.077054795,1.077054795,1.077054795,1.090502573,1.090502573,1.090502573,1.090502573,1.09816857,1.065887555,1.068317154,1.075,1.170275709,1.075,1.075000001,1.075000002,1.074999998,1.158393536,1.074999999,1.075000002,1.103324882,1.103324882,1.018652022,1.018652022,1.018652022,1.018652022,1.075,1.075
8 Weeks,1,1.102739726,1.130891427,1.120670098,1.102739726,1.102739726,1.102739726,1.102739727,1.120670098,1.120670098,1.120670098,1.120670098,1.130891427,1.087850074,1.091089539,1.1,1.227034278,1.1,1.100000001,1.100000003,1.099999998,1.211191382,1.099999999,1.100000003,1.13776651,1.13776651,1.024869362,1.024869362,1.024869362,1.018652022,1.1,1.1
9 Weeks,1,1.128424658,1.163614283,1.150837622,1.128424658,1.128424658,1.128424658,1.128424659,1.150837622,1.150837622,1.150837622,1.150837622,1.163614283,1.109812592,1.113861924,1.125,1.283792848,1.125,1.125000002,1.125000004,1.124999997,1.263989227,1.124999999,1.125000004,1.172208137,1.172208137,1.031086703,1.031086703,1.031086703,1.018652022,1.125,1.125
10 Weeks,1,1.154109589,1.19633714,1.181005147,1.154109589,1.15410959,1.154109589,1.15410959,1.181005147,1.181005147,1.181005147,1.181005147,1.19633714,1.131775111,1.136634308,1.15,1.340551417,1.15,1.150000002,1.150000005,1.149999997,1.316787072,1.149999998,1.150000005,1.206649765,1.206649765,1.037304044,1.037304044,1.037304044,1.018652022,1.15,1.15
11 Weeks,1,1.179794521,1.229059997,1.211172671,1.179794521,1.179794521,1.179794521,1.179794522,1.211172671,1.211172671,1.211172671,1.211172671,1.229059997,1.153737629,1.159406693,1.175,1.397309987,1.175,1.175000002,1.175000006,1.174999996,1.369584918,1.174999998,1.175000006,1.241091392,1.241091392,1.043521384,1.043521384,1.043521384,1.018652022,1.175,1.175
12 Weeks,1,1.205479452,1.261782853,1.241340196,1.205479452,1.205479453,1.205479452,1.205479454,1.241340196,1.241340196,1.241340196,1.241340196,1.261782853,1.175700148,1.182179078,1.2,1.454068556,1.2,1.200000003,1.200000006,1.199999996,1.422382763,1.199999998,1.200000006,1.275533019,1.275533019,1.049738725,1.049738725,1.049738725,1.018652022,1.2,1.2
