Key,Demographic,Ad Duration,Platform,Building,Reinforcing,Impacting,Activating,Active 1 Sec,Active 2 Sec,Active 3 Sec,Active 4 Sec,Active 5 Sec,Active 6 Sec,Active 7 Sec,Active 8 Sec,Active 9 Sec,Active 10 Sec,Passive 1 Sec,Passive 2 Sec,Passive 3 Sec,Passive 4 Sec,Passive 5 Sec,Passive 6 Sec,Passive 7 Sec,Passive 8 Sec,Passive 9 Sec,Passive 10 Sec,Any 1 Sec,Any 2 Sec,Any 3 Sec,Any 4 Sec,Any 5 Sec,Any 6 Sec,Any 7 Sec,Any 8 Sec,Any 9 Sec,Any 10 Sec
Linear TV Metro & RegionalP18+15sec,P18+,15sec,Linear TV Metro & Regional,0.78,0.82,0.32,0.46,48.33207567,43.35404634,40.13788611,36.73128128,34.68215902,32.63407016,31.26080581,27.75906599,22.49105514,19.80943303,69.40731657,66.36817973,60.09304919,54.15855698,51.18854666,46.46633413,41.9002174,39.23992849,36.78709646,33.82925292,41.17584719,44.9430015,49.27995379,53.39667152,55.32632303,55.9892583,60.41356,63.73083185,65.86955104,68.05129836
Linear TV MetroP18+15sec,P18+,15sec,Linear TV Metro,0.78,0.82,0.32,0.46,48.33207567,43.35404634,40.13788611,36.73128128,34.68215902,32.63407016,31.26080581,27.75906599,22.49105514,19.80943303,69.40731657,66.36817973,60.09304919,54.15855698,51.18854666,46.46633413,41.9002174,39.23992849,36.78709646,33.82925292,41.17584719,44.9430015,49.27995379,53.39667152,55.32632303,55.9892583,60.41356,63.73083185,65.86955104,68.05129836
Linear TV RegionalP18+15sec,P18+,15sec,Linear TV Regional,0.78,0.82,0.32,0.46,48.33207567,43.35404634,40.13788611,36.73128128,34.68215902,32.63407016,31.26080581,27.75906599,22.49105514,19.80943303,69.40731657,66.36817973,60.09304919,54.15855698,51.18854666,46.46633413,41.9002174,39.23992849,36.78709646,33.82925292,41.17584719,44.9430015,49.27995379,53.39667152,55.32632303,55.9892583,60.41356,63.73083185,65.86955104,68.05129836
Linear TV Metro 5 Cap Seven NetworkP18+15sec,P18+,15sec,Linear TV Metro 5 Cap Seven Network,0.78,0.82,0.32,0.46,48.33207567,43.35404634,40.13788611,36.73128128,34.68215902,32.63407016,31.26080581,27.75906599,22.49105514,19.80943303,69.40731657,66.36817973,60.09304919,54.15855698,51.18854666,46.46633413,41.9002174,39.23992849,36.78709646,33.82925292,41.17584719,44.9430015,49.27995379,53.39667152,55.32632303,55.9892583,60.41356,63.73083185,65.86955104,68.05129836
Linear TV Metro 5 Cap Nine NetworkP18+15sec,P18+,15sec,Linear TV Metro 5 Cap Nine Network,0.78,0.82,0.32,0.46,48.33207567,43.35404634,40.13788611,36.73128128,34.68215902,32.63407016,31.26080581,27.75906599,22.49105514,19.80943303,69.40731657,66.36817973,60.09304919,54.15855698,51.18854666,46.46633413,41.9002174,39.23992849,36.78709646,33.82925292,41.17584719,44.9430015,49.27995379,53.39667152,55.32632303,55.9892583,60.41356,63.73083185,65.86955104,68.05129836
Linear TV Metro 5 Cap Ten NetworkP18+15sec,P18+,15sec,Linear TV Metro 5 Cap Ten Network,0.78,0.82,0.32,0.46,48.33207567,43.35404634,40.13788611,36.73128128,34.68215902,32.63407016,31.26080581,27.75906599,22.49105514,19.80943303,69.40731657,66.36817973,60.09304919,54.15855698,51.18854666,46.46633413,41.9002174,39.23992849,36.78709646,33.82925292,41.17584719,44.9430015,49.27995379,53.39667152,55.32632303,55.9892583,60.41356,63.73083185,65.86955104,68.05129836
Linear TV Metro 5 Cap SBS NetworkP18+15sec,P18+,15sec,Linear TV Metro 5 Cap SBS Network,0.78,0.82,0.32,0.46,48.33207567,43.35404634,40.13788611,36.73128128,34.68215902,32.63407016,31.26080581,27.75906599,22.49105514,19.80943303,69.40731657,66.36817973,60.09304919,54.15855698,51.18854666,46.46633413,41.9002174,39.23992849,36.78709646,33.82925292,41.17584719,44.9430015,49.27995379,53.39667152,55.32632303,55.9892583,60.41356,63.73083185,65.86955104,68.05129836
Linear TV Regional 4 Seven NetworkP18+15sec,P18+,15sec,Linear TV Regional 4 Seven Network,0.78,0.82,0.32,0.46,48.33207567,43.35404634,40.13788611,36.73128128,34.68215902,32.63407016,31.26080581,27.75906599,22.49105514,19.80943303,69.40731657,66.36817973,60.09304919,54.15855698,51.18854666,46.46633413,41.9002174,39.23992849,36.78709646,33.82925292,41.17584719,44.9430015,49.27995379,53.39667152,55.32632303,55.9892583,60.41356,63.73083185,65.86955104,68.05129836
Linear TV Regional 4 Nine NetworkP18+15sec,P18+,15sec,Linear TV Regional 4 Nine Network,0.78,0.82,0.32,0.46,48.33207567,43.35404634,40.13788611,36.73128128,34.68215902,32.63407016,31.26080581,27.75906599,22.49105514,19.80943303,69.40731657,66.36817973,60.09304919,54.15855698,51.18854666,46.46633413,41.9002174,39.23992849,36.78709646,33.82925292,41.17584719,44.9430015,49.27995379,53.39667152,55.32632303,55.9892583,60.41356,63.73083185,65.86955104,68.05129836
Linear TV Regional 4 Ten NetworkP18+15sec,P18+,15sec,Linear TV Regional 4 Ten Network,0.78,0.82,0.32,0.46,48.33207567,43.35404634,40.13788611,36.73128128,34.68215902,32.63407016,31.26080581,27.75906599,22.49105514,19.80943303,69.40731657,66.36817973,60.09304919,54.15855698,51.18854666,46.46633413,41.9002174,39.23992849,36.78709646,33.82925292,41.17584719,44.9430015,49.27995379,53.39667152,55.32632303,55.9892583,60.41356,63.73083185,65.86955104,68.05129836
Linear TV Regional 4 SBS NetworkP18+15sec,P18+,15sec,Linear TV Regional 4 SBS Network,0.78,0.82,0.32,0.46,48.33207567,43.35404634,40.13788611,36.73128128,34.68215902,32.63407016,31.26080581,27.75906599,22.49105514,19.80943303,69.40731657,66.36817973,60.09304919,54.15855698,51.18854666,46.46633413,41.9002174,39.23992849,36.78709646,33.82925292,41.17584719,44.9430015,49.27995379,53.39667152,55.32632303,55.9892583,60.41356,63.73083185,65.86955104,68.05129836
Foxtel LinearP18+15sec,P18+,15sec,Foxtel Linear,0.78,0.82,0.32,0.46,34.04564435,29.0985003,26.46127019,25.26396672,23.93210255,21.54331897,19.51907313,17.31254374,16.19801784,15.00201396,69.63956698,65.47777593,61.64938318,60.04192905,58.54774492,55.96688042,54.02083883,51.88127177,49.83506066,47.67488664,59.64394632,62.29103252,63.43265413,64.33776405,65.52378706,66.10951229,66.83175218,68.20396485,69.25880551,69.66231509
YouTube TrueViewP18+15sec,P18+,15sec,YouTube TrueView,0.21,0.72,0.23,0.72,76.14942612,69.14393584,56.63289495,51.16956789,46.41445501,41.19074764,37.83917869,32.98738591,26.97019434,17.24135686,50.70492434,42.04567806,35.28869245,25.62528489,22.33682642,19.08549804,16.60093929,13.04928169,6.643810898,5.97853662,83.0308754,88.6789592,89.49006044,89.8497399,90.57866327,89.45254413,90.68503832,91.64955721,92.2205781,92.9445969
YouTube Instant ReserveP18+15sec,P18+,15sec,YouTube Instant Reserve,0.77,0.86,0.53,0.83,76.14942612,69.14393584,56.63289495,51.16956789,46.41445501,41.19074764,37.83917869,32.98738591,26.97019434,17.24135686,50.70492434,42.04567806,35.28869245,25.62528489,22.33682642,19.08549804,16.60093929,13.04928169,6.643810898,5.97853662,83.0308754,88.6789592,89.49006044,89.8497399,90.57866327,89.45254413,90.68503832,91.64955721,92.2205781,92.9445969
YouTube SelectP18+15sec,P18+,15sec,YouTube Select,0.77,0.86,0.53,0.83,76.14942612,69.14393584,56.63289495,51.16956789,46.41445501,41.19074764,37.83917869,32.98738591,26.97019434,17.24135686,50.70492434,42.04567806,35.28869245,25.62528489,22.33682642,19.08549804,16.60093929,13.04928169,6.643810898,5.97853662,83.0308754,88.6789592,89.49006044,89.8497399,90.57866327,89.45254413,90.68503832,91.64955721,92.2205781,92.9445969
YouTube OMG SelectP18+15sec,P18+,15sec,YouTube OMG Select,0.77,0.86,0.53,0.83,76.14942612,69.14393584,56.63289495,51.16956789,46.41445501,41.19074764,37.83917869,32.98738591,26.97019434,17.24135686,50.70492434,42.04567806,35.28869245,25.62528489,22.33682642,19.08549804,16.60093929,13.04928169,6.643810898,5.97853662,83.0308754,88.6789592,89.49006044,89.8497399,90.57866327,89.45254413,90.68503832,91.64955721,92.2205781,92.9445969
Nine NowP18+15sec,P18+,15sec,Nine Now,0.7,0.83,0.82,1,83.63717874,81.43610216,77.94606609,75.23383306,72.52144071,69.73235895,67.40241281,65.37417224,62.64198181,59.79539841,48.75540527,41.94722916,37.00555056,31.63108323,28.04189676,24.23688929,21.09477419,18.36000869,15.97978325,13.90813463,62.43223741,70.33763323,75.27005308,76.59544229,77.86419279,77.57812826,78.1227455,79.15664572,79.83981921,81.1286761
Ten PlayP18+15sec,P18+,15sec,Ten Play,0.7,0.83,0.82,1,83.63717874,81.43610216,77.94606609,75.23383306,72.52144071,69.73235895,67.40241281,65.37417224,62.64198181,59.79539841,48.75540527,41.94722916,37.00555056,31.63108323,28.04189676,24.23688929,21.09477419,18.36000869,15.97978325,13.90813463,62.43223741,70.33763323,75.27005308,76.59544229,77.86419279,77.57812826,78.1227455,79.15664572,79.83981921,81.1286761
Seven PlusP18+15sec,P18+,15sec,Seven Plus,0.7,0.83,0.82,1,83.63717874,81.43610216,77.94606609,75.23383306,72.52144071,69.73235895,67.40241281,65.37417224,62.64198181,59.79539841,48.75540527,41.94722916,37.00555056,31.63108323,28.04189676,24.23688929,21.09477419,18.36000869,15.97978325,13.90813463,62.43223741,70.33763323,75.27005308,76.59544229,77.86419279,77.57812826,78.1227455,79.15664572,79.83981921,81.1286761
