Platform,CPM
Linear TV Metro & Regional,14.6
Linear TV Metro,15.2
Linear TV Regional,12.7
Linear TV Metro 5 Cap Seven Network,15.2
Linear TV Metro 5 Cap Nine Network,15.2
Linear TV Metro 5 Cap Ten Network,15.2
Linear TV Metro 5 Cap SBS Network,15.2
Linear TV Regional 4 Seven Network,12.7
Linear TV Regional 4 Nine Network,12.7
Linear TV Regional 4 Ten Network,12.7
Linear TV Regional 4 SBS Network,12.7
Foxtel Linear,9
YouTube TrueView,25
YouTube Instant Reserve,35
YouTube Select,30
YouTube OMG Select,40
Nine Now,48
Ten Play,40
Seven Plus,40.8
SBS On Demand,39.2
Kayo,40
Foxtel Go,32
Binge,44
Netflix,32
Optus Sport,32
Amazon Prime,32
