Platform,Duration,Demographic,Key,CPM
Linear TV Metro & Regional,30Sec,P25-54,Linear TV Metro & RegionalP25-54,70
Linear TV Metro,30Sec,P25-54,Linear TV MetroP25-54,73
Linear TV Regional,30Sec,P25-54,Linear TV RegionalP25-54,61
Linear TV Metro 5 Cap Seven Network,30Sec,P25-54,Linear TV Metro 5 Cap Seven NetworkP25-54,73
Linear TV Metro 5 Cap Nine Network,30Sec,P25-54,Linear TV Metro 5 Cap Nine NetworkP25-54,73
Linear TV Metro 5 Cap Ten Network,30Sec,P25-54,Linear TV Metro 5 Cap Ten NetworkP25-54,73
Linear TV Metro 5 Cap SBS Network,30Sec,P25-54,Linear TV Metro 5 Cap SBS NetworkP25-54,73
Linear TV Regional 4 Seven Network,30Sec,P25-54,Linear TV Regional 4 Seven NetworkP25-54,61
Linear TV Regional 4 Nine Network,30Sec,P25-54,Linear TV Regional 4 Nine NetworkP25-54,61
Linear TV Regional 4 Ten Network,30Sec,P25-54,Linear TV Regional 4 Ten NetworkP25-54,61
Linear TV Regional 4 SBS Network,30Sec,P25-54,Linear TV Regional 4 SBS NetworkP25-54,61
Foxtel Linear,30Sec,P25-54,Foxtel LinearP25-54,43
YouTube TrueView,30Sec,P25-54,YouTube TrueViewP25-54,35
YouTube Instant Reserve,30Sec,P25-54,YouTube Instant ReserveP25-54,49
YouTube Select,30Sec,P25-54,YouTube SelectP25-54,42
YouTube OMG Select,30Sec,P25-54,YouTube OMG SelectP25-54,56
Nine Now,30Sec,P25-54,Nine NowP25-54,39
Ten Play,30Sec,P25-54,Ten PlayP25-54,34
Seven Plus,30Sec,P25-54,Seven PlusP25-54,44
SBS On Demand,30Sec,P25-54,SBS On DemandP25-54,44
Kayo,30Sec,P25-54,KayoP25-54,39
Foxtel Go,30Sec,P25-54,Foxtel GoP25-54,36
Binge,30Sec,P25-54,BingeP25-54,51
Netflix,30Sec,P25-54,NetflixP25-54,45
Optus Sport,30Sec,P25-54,Optus SportP25-54,34
Amazon Prime,30Sec,P25-54,Amazon PrimeP25-54,48
