Platform,Duration,Demographic,Key,CPM
Linear TV Metro & Regional,30Sec,P25-54,Linear TV Metro & RegionalP25-54,24.3
Linear TV Metro,30Sec,P25-54,Linear TV MetroP25-54,25.4
Linear TV Regional,30Sec,P25-54,Linear TV RegionalP25-54,21.1
Linear TV Metro 5 Cap Seven Network,30Sec,P25-54,Linear TV Metro 5 Cap Seven NetworkP25-54,25.4
Linear TV Metro 5 Cap Nine Network,30Sec,P25-54,Linear TV Metro 5 Cap Nine NetworkP25-54,25.4
Linear TV Metro 5 Cap Ten Network,30Sec,P25-54,Linear TV Metro 5 Cap Ten NetworkP25-54,25.4
Linear TV Metro 5 Cap SBS Network,30Sec,P25-54,Linear TV Metro 5 Cap SBS NetworkP25-54,25.4
Linear TV Regional 4 Seven Network,30Sec,P25-54,Linear TV Regional 4 Seven NetworkP25-54,21.1
Linear TV Regional 4 Nine Network,30Sec,P25-54,Linear TV Regional 4 Nine NetworkP25-54,21.1
Linear TV Regional 4 Ten Network,30Sec,P25-54,Linear TV Regional 4 Ten NetworkP25-54,21.1
Linear TV Regional 4 SBS Network,30Sec,P25-54,Linear TV Regional 4 SBS NetworkP25-54,21.1
Foxtel Linear,30Sec,P25-54,Foxtel LinearP25-54,15
YouTube Select,30Sec,P25-54,YouTube SelectP25-54,29.6
Nine Now,30Sec,P25-54,Nine NowP25-54,60
Ten Play,30Sec,P25-54,Ten PlayP25-54,50
Seven Plus,30Sec,P25-54,Seven PlusP25-54,51
SBS On Demand,30Sec,P25-54,SBS On DemandP25-54,49
Kayo,30Sec,P25-54,KayoP25-54,50
Foxtel Go,30Sec,P25-54,Foxtel GoP25-54,40
Binge,30Sec,P25-54,BingeP25-54,55
Netflix,30Sec,P25-54,NetflixP25-54,40
Optus Sport,30Sec,P25-54,Optus SportP25-54,40
Amazon Prime,30Sec,P25-54,Amazon PrimeP25-54,40
Linear TV Metro & Regional,15Sec,P25-54,Linear TV Metro & RegionalP25-54,14.6
Linear TV Metro,15Sec,P25-54,Linear TV MetroP25-54,15.2
Linear TV Regional,15Sec,P25-54,Linear TV RegionalP25-54,12.7
Linear TV Metro 5 Cap Seven Network,15Sec,P25-54,Linear TV Metro 5 Cap Seven NetworkP25-54,15.2
Linear TV Metro 5 Cap Nine Network,15Sec,P25-54,Linear TV Metro 5 Cap Nine NetworkP25-54,15.2
Linear TV Metro 5 Cap Ten Network,15Sec,P25-54,Linear TV Metro 5 Cap Ten NetworkP25-54,15.2
Linear TV Metro 5 Cap SBS Network,15Sec,P25-54,Linear TV Metro 5 Cap SBS NetworkP25-54,15.2
Linear TV Regional 4 Seven Network,15Sec,P25-54,Linear TV Regional 4 Seven NetworkP25-54,12.7
Linear TV Regional 4 Nine Network,15Sec,P25-54,Linear TV Regional 4 Nine NetworkP25-54,12.7
Linear TV Regional 4 Ten Network,15Sec,P25-54,Linear TV Regional 4 Ten NetworkP25-54,12.7
Linear TV Regional 4 SBS Network,15Sec,P25-54,Linear TV Regional 4 SBS NetworkP25-54,12.7
Foxtel Linear,15Sec,P25-54,Foxtel LinearP25-54,9
YouTube Select,15Sec,P25-54,YouTube SelectP25-54,23.7
Nine Now,15Sec,P25-54,Nine NowP25-54,48
Ten Play,15Sec,P25-54,Ten PlayP25-54,40
Seven Plus,15Sec,P25-54,Seven PlusP25-54,40.8
SBS On Demand,15Sec,P25-54,SBS On DemandP25-54,39.2
Kayo,15Sec,P25-54,KayoP25-54,40
Foxtel Go,15Sec,P25-54,Foxtel GoP25-54,32
Binge,15Sec,P25-54,BingeP25-54,44
Netflix,15Sec,P25-54,NetflixP25-54,32
Optus Sport,15Sec,P25-54,Optus SportP25-54,32
Amazon Prime,15Sec,P25-54,Amazon PrimeP25-54,32
Linear TV Metro & Regional,Other,P25-54,Linear TV Metro & RegionalP25-54,14.6
Linear TV Metro,Other,P25-54,Linear TV MetroP25-54,15.2
Linear TV Regional,Other,P25-54,Linear TV RegionalP25-54,12.7
Linear TV Metro 5 Cap Seven Network,Other,P25-54,Linear TV Metro 5 Cap Seven NetworkP25-54,15.2
Linear TV Metro 5 Cap Nine Network,Other,P25-54,Linear TV Metro 5 Cap Nine NetworkP25-54,15.2
Linear TV Metro 5 Cap Ten Network,Other,P25-54,Linear TV Metro 5 Cap Ten NetworkP25-54,15.2
Linear TV Metro 5 Cap SBS Network,Other,P25-54,Linear TV Metro 5 Cap SBS NetworkP25-54,15.2
Linear TV Regional 4 Seven Network,Other,P25-54,Linear TV Regional 4 Seven NetworkP25-54,12.7
Linear TV Regional 4 Nine Network,Other,P25-54,Linear TV Regional 4 Nine NetworkP25-54,12.7
Linear TV Regional 4 Ten Network,Other,P25-54,Linear TV Regional 4 Ten NetworkP25-54,12.7
Linear TV Regional 4 SBS Network,Other,P25-54,Linear TV Regional 4 SBS NetworkP25-54,12.7
Foxtel Linear,Other,P25-54,Foxtel LinearP25-54,9
YouTube Select,Other,P25-54,YouTube SelectP25-54,23.7
Nine Now,Other,P25-54,Nine NowP25-54,48
Ten Play,Other,P25-54,Ten PlayP25-54,40
Seven Plus,Other,P25-54,Seven PlusP25-54,40.8
SBS On Demand,Other,P25-54,SBS On DemandP25-54,39.2
Kayo,Other,P25-54,KayoP25-54,40
Foxtel Go,Other,P25-54,Foxtel GoP25-54,32
Binge,Other,P25-54,BingeP25-54,44
Netflix,Other,P25-54,NetflixP25-54,32
Optus Sport,Other,P25-54,Optus SportP25-54,32
Amazon Prime,Other,P25-54,Amazon PrimeP25-54,32
Linear TV Metro & Regional,30Sec,P18-44,Linear TV Metro & RegionalP18-44,24.3
Linear TV Metro,30Sec,P18-44,Linear TV MetroP18-44,25.4
Linear TV Regional,30Sec,P18-44,Linear TV RegionalP18-44,21.1
Linear TV Metro 5 Cap Seven Network,30Sec,P18-44,Linear TV Metro 5 Cap Seven NetworkP18-44,25.4
Linear TV Metro 5 Cap Nine Network,30Sec,P18-44,Linear TV Metro 5 Cap Nine NetworkP18-44,25.4
