Key,A,B,C
P18+Linear TV Metro & Regional,16618955.16,"12,827.14",-0.837480947
P18+Linear TV Metro,11623311.86,"13,604.54",-0.837480947
P18+Linear TV Regional,4995643.273,"12,438.43",-0.837480947
P18+Foxtel Linear,3719220.223,"11,661.03",-0.837480947
P18+YouTube TrueView,16635568.85,"11,061.00",-0.70559123
P18+YouTube Instant Reserve,14057770.63,"29,891.11",-0.837480947
P18+YouTube Select,6876410.398,"79,835.86",-0.911519771
P18+YouTube OMG Select,3518897.747,"101,475.09",-1.013950376
P18+Nine Now,4136951.41,"46,644.13",-0.837480947
P18+Seven Plus,1987754.708,"38,870.11",-0.837480947
P18+Ten Play,1634600.318,"38,870.11",-0.837480947
P18+SBS On Demand,1412617.561,"34,983.10",-0.837480947
P18+Kayo,3307543.107,"39,647.51",-0.837480947
P18+Foxtel Go,1523608.939,"38,870.11",-0.837480947
P18+Binge,645667.1184,"46,644.13",-0.837480947
P18+Netflix,1009012.535,"38,870.11",-0.837480947
P25-54Linear TV Metro & Regional,8632175.737,728.2812768,-0.530535624
P25-54Linear TV Metro,6037351.308,772.419536,-0.530535624
P25-54Linear TV Regional,2594824.419,706.2121472,-0.530535624
P25-54Foxtel Linear,1931827.98,662.073888,-0.530535624
P25-54YouTube TrueView,10695154.23,"26,084.89",-0.779371276
P25-54YouTube Instant Reserve,10650242.89,"1,547.05",-0.530535624
P25-54YouTube Select,5208175.737,728.2812768,-0.530535624
P25-54YouTube OMG Select,3368487.458,"81,328.00",-0.91787661
P25-54Nine Now,2148804.859,696.92,-0.530535624
P25-54Seven Plus,1353474.533,410,-0.519823593
P25-54Ten Play,849039.971,390,-0.580535624
P25-54SBS On Demand,733738.2476,522.69,-0.609823593
P25-54Kayo,1717995.692,"2,251.05",-0.530535624
P25-54Foxtel Go,791389.1093,"2,206.91",-0.530535624
P25-54Binge,335370.7848,"2,648.30",-0.530535624
P25-54Netflix,524098.7437,"2,206.91",-0.530535624
P18-44Linear TV Metro & Regional,7825430.341,642.000195,-0.54742183
P18-44Linear TV Metro,5473112.868,680.9092978,-0.54742183
P18-44Linear TV Regional,2352317.464,622.5456437,-0.54742183
P18-44Foxtel Linear,1751283.309,583.6365409,-0.54742183
P18-44YouTube TrueView,9068703.194,"52,426.37",-0.854403972
P18-44YouTube Instant Reserve,9217837.269,"1,625.23",-0.54742183
P18-44YouTube Select,4688174.958,"14,358.34",-0.747524201
P18-44YouTube OMG Select,3053675.546,"156,526.57",-0.982816827
P18-44Nine Now,1947981.975,"2,334.55",-0.54742183
P18-44Seven Plus,935981.5859,"1,945.46",-0.54742183
P18-44Ten Play,769690.441,"1,945.46",-0.54742183
P18-44SBS On Demand,665164.5796,"1,750.91",-0.54742183
P18-44Kayo,1557435.347,"1,984.36",-0.54742183
P18-44Foxtel Go,717427.5103,"1,945.46",-0.54742183
P18-44Binge,304027.7208,"2,334.55",-0.54742183
P18-44Netflix,475117.5527,"1,945.46",-0.54742183
P18-64Linear TV Metro & Regional,12907926.34,695.7418897,-0.529823593
P18-64Linear TV Metro,9027815.04,737.9080648,-0.529823593
P18-64Linear TV Regional,3880111.28,674.6588021,-0.529823593
P18-64Foxtel Linear,2888714.736,632.492627,-0.529823593
P18-64YouTube TrueView,15210974.34,"62,104.98",-0.848125126
P18-64YouTube Instant Reserve,14848776.21,"1,577.01",-0.529823593
P18-64YouTube Select,7733072.096,"36,817.02",-0.807841229
P18-64YouTube OMG Select,5036990.592,"158,485.62",-0.971803847
P18-64Nine Now,3213166.144,"2,529.97",-0.529823593
P18-64Seven Plus,1543887.152,"2,108.31",-0.529823593
P18-64Ten Play,1269592.48,"2,108.31",-0.529823593
P18-64SBS On Demand,1097178.688,"1,897.48",-0.529823593
P18-64Kayo,2568965.52,"2,150.47",-0.529823593
P18-64Foxtel Go,1183385.584,"2,108.31",-0.529823593
P18-64Binge,501489.024,"2,529.97",-0.529823593
P18-64Netflix,783699.056,"2,108.31",-0.529823593
