Demographic,Platform,Weeks,Curve Frequency,Frequency Cap,Key,  A  , B , C , Potential 
P18+,Linear TV Metro & Regional,4 Weeks,oneplus,0,P18+Linear TV Metro & Regional4 Weeksoneplus0,0.806745396,12827.14,-0.84,20600000
P18+,Linear TV Metro,4 Weeks,oneplus,0,P18+Linear TV Metro4 Weeksoneplus0,0.56423844,13604.54,-0.84,20600000
P18+,Linear TV Regional,4 Weeks,oneplus,0,P18+Linear TV Regional4 Weeksoneplus0,0.242506955,12438.43,-0.84,20600000
P18+,Linear TV Metro 5 Cap Seven Network,4 Weeks,oneplus,0,P18+Linear TV Metro 5 Cap Seven Network4 Weeksoneplus0,0.386074326,13604.54,-0.84,20600000
P18+,Linear TV Metro 5 Cap Nine Network,4 Weeks,oneplus,0,P18+Linear TV Metro 5 Cap Nine Network4 Weeksoneplus0,0.403430485,13604.54,-0.84,20600000
P18+,Linear TV Metro 5 Cap Ten Network,4 Weeks,oneplus,0,P18+Linear TV Metro 5 Cap Ten Network4 Weeksoneplus0,0.267022595,13604.54,-0.84,20600000
P18+,Linear TV Metro 5 Cap SBS Network,4 Weeks,oneplus,0,P18+Linear TV Metro 5 Cap SBS Network4 Weeksoneplus0,0.122068867,13604.54,-0.84,20600000
P18+,Linear TV Regional 4 Seven Network,4 Weeks,oneplus,0,P18+Linear TV Regional 4 Seven Network4 Weeksoneplus0,0.16593288,12438.43,-0.84,20600000
P18+,Linear TV Regional 4 Nine Network,4 Weeks,oneplus,0,P18+Linear TV Regional 4 Nine Network4 Weeksoneplus0,0.173392473,12438.43,-0.84,20600000
P18+,Linear TV Regional 4 Ten Network,4 Weeks,oneplus,0,P18+Linear TV Regional 4 Ten Network4 Weeksoneplus0,0.114765021,12438.43,-0.84,20600000
P18+,Linear TV Regional 4 SBS Network,4 Weeks,oneplus,0,P18+Linear TV Regional 4 SBS Network4 Weeksoneplus0,0.052464609,12438.43,-0.84,20600000
P18+,Foxtel Linear,4 Weeks,oneplus,0,P18+Foxtel Linear4 Weeksoneplus0,0.180544671,11661.03,-0.84,20600000
P18+,YouTube TrueView,4 Weeks,oneplus,0,P18+YouTube TrueView4 Weeksoneplus0,0.699,11061,-0.71,20600000
P18+,YouTube Instant Reserve,4 Weeks,oneplus,0,P18+YouTube Instant Reserve4 Weeksoneplus0,0.66,29891.11,-0.84,20600000
P18+,YouTube Select,4 Weeks,oneplus,0,P18+YouTube Select4 Weeksoneplus0,0.33380633,79835.86,-0.91,20600000
P18+,YouTube OMG Select,4 Weeks,oneplus,0,P18+YouTube OMG Select4 Weeksoneplus0,0.170820279,101475.09,-1.01,20600000
P18+,Nine Now,4 Weeks,oneplus,0,P18+Nine Now4 Weeksoneplus0,0.078951242,12213.34621,-0.827875649,20600000
P18+,Ten Play,4 Weeks,oneplus,0,P18+Ten Play4 Weeksoneplus0,0.04938677,8896.841379,-0.835168363,20600000
P18+,Seven Plus,4 Weeks,oneplus,0,P18+Seven Plus4 Weeksoneplus0,0.07934953,38870.11,-0.84,20600000
P18+,SBS On Demand,4 Weeks,oneplus,0,P18+SBS On Demand4 Weeksoneplus0,0.068573668,34983.1,-0.84,20600000
P18+,Kayo,4 Weeks,oneplus,0,P18+Kayo4 Weeksoneplus0,0.160560345,39647.51,-0.84,20600000
P18+,Foxtel Go,4 Weeks,oneplus,0,P18+Foxtel Go4 Weeksoneplus0,0.073961599,38870.11,-0.84,20600000
P18+,Binge,4 Weeks,oneplus,0,P18+Binge4 Weeksoneplus0,0.031343064,46644.13,-0.84,20600000
P18+,Netflix,4 Weeks,oneplus,0,P18+Netflix4 Weeksoneplus0,0.048981191,38870.11,-0.82,20600000
P18+,Optus Sport,4 Weeks,oneplus,0,P18+Optus Sport4 Weeksoneplus0,0.048981191,38870.11,-0.9,20600000
P18+,Amazon Prime,4 Weeks,oneplus,0,P18+Amazon Prime4 Weeksoneplus0,0.194174757,38870.11,-0.8,20600000
P25-54,Linear TV Metro & Regional,4 Weeks,oneplus,0,P25-54Linear TV Metro & Regional4 Weeksoneplus0,0.806745396,728.28,-0.53,10700000
P25-54,Linear TV Metro,4 Weeks,oneplus,0,P25-54Linear TV Metro4 Weeksoneplus0,0.56423844,772.42,-0.53,10700000
P25-54,Linear TV Regional,4 Weeks,oneplus,0,P25-54Linear TV Regional4 Weeksoneplus0,0.242506955,706.21,-0.53,10700000
P25-54,Linear TV Metro 5 Cap Seven Network,4 Weeks,oneplus,0,P25-54Linear TV Metro 5 Cap Seven Network4 Weeksoneplus0,0.350976661,772.42,-0.53,10700000
P25-54,Linear TV Metro 5 Cap Nine Network,4 Weeks,oneplus,0,P25-54Linear TV Metro 5 Cap Nine Network4 Weeksoneplus0,0.366754986,772.42,-0.53,10700000
P25-54,Linear TV Metro 5 Cap Ten Network,4 Weeks,oneplus,0,P25-54Linear TV Metro 5 Cap Ten Network4 Weeksoneplus0,0.242747813,772.42,-0.53,10700000
P25-54,Linear TV Metro 5 Cap SBS Network,4 Weeks,oneplus,0,P25-54Linear TV Metro 5 Cap SBS Network4 Weeksoneplus0,0.110971697,772.42,-0.53,10700000
P25-54,Linear TV Regional 4 Seven Network,4 Weeks,oneplus,0,P25-54Linear TV Regional 4 Seven Network4 Weeksoneplus0,0.150848073,706.21,-0.53,10700000
P25-54,Linear TV Regional 4 Nine Network,4 Weeks,oneplus,0,P25-54Linear TV Regional 4 Nine Network4 Weeksoneplus0,0.157629521,706.21,-0.53,10700000
P25-54,Linear TV Regional 4 Ten Network,4 Weeks,oneplus,0,P25-54Linear TV Regional 4 Ten Network4 Weeksoneplus0,0.104331837,706.21,-0.53,10700000
P25-54,Linear TV Regional 4 SBS Network,4 Weeks,oneplus,0,P25-54Linear TV Regional 4 SBS Network4 Weeksoneplus0,0.047695099,706.21,-0.53,10700000
P25-54,Foxtel Linear,4 Weeks,oneplus,0,P25-54Foxtel Linear4 Weeksoneplus0,0.180544671,662.07,-0.53,10700000
P25-54,YouTube TrueView,4 Weeks,oneplus,0,P25-54YouTube TrueView4 Weeksoneplus0,0.719,26084.89,-0.78,10700000
P25-54,YouTube Instant Reserve,4 Weeks,oneplus,0,P25-54YouTube Instant Reserve4 Weeksoneplus0,0.719,1547.05,-0.53,10700000
P25-54,YouTube Select,4 Weeks,oneplus,0,P25-54YouTube Select4 Weeksoneplus0,0.486745396,728.28,-0.53,10700000
P25-54,YouTube OMG Select,4 Weeks,oneplus,0,P25-54YouTube OMG Select4 Weeksoneplus0,0.314811912,81328,-0.92,10700000
P25-54,Nine Now,4 Weeks,oneplus,0,P25-54Nine Now4 Weeksoneplus0,0.200822884,696.92,-0.53,10700000
P25-54,Ten Play,4 Weeks,oneplus,0,P25-54Ten Play4 Weeksoneplus0,0.126492947,410,-0.52,10700000
P25-54,Seven Plus,4 Weeks,oneplus,0,P25-54Seven Plus4 Weeksoneplus0,0.088695324,390,-0.58,10700000
P25-54,SBS On Demand,4 Weeks,oneplus,0,P25-54SBS On Demand4 Weeksoneplus0,0.077919463,522.69,-0.61,10700000
P25-54,Kayo,4 Weeks,oneplus,0,P25-54Kayo4 Weeksoneplus0,0.160560345,2251.05,-0.53,10700000
P25-54,Foxtel Go,4 Weeks,oneplus,0,P25-54Foxtel Go4 Weeksoneplus0,0.073961599,2206.91,-0.53,10700000
P25-54,Binge,4 Weeks,oneplus,0,P25-54Binge4 Weeksoneplus0,0.031343064,2648.3,-0.53,10700000
P25-54,Netflix,4 Weeks,oneplus,0,P25-54Netflix4 Weeksoneplus0,0.048981191,2206.91,-0.82,10700000
P25-54,Optus Sport,4 Weeks,oneplus,0,P25-54Optus Sport4 Weeksoneplus0,0.048598131,2206.91,-0.9,10700000
P25-54,Amazon Prime,4 Weeks,oneplus,0,P25-54Amazon Prime4 Weeksoneplus0,0.145794393,2206.91,-0.8,10700000
P18-44,Linear TV Metro & Regional,4 Weeks,oneplus,0,P18-44Linear TV Metro & Regional4 Weeksoneplus0,0.680412371,642,-0.55,9700000
P18-44,Linear TV Metro,4 Weeks,oneplus,0,P18-44Linear TV Metro4 Weeksoneplus0,0.448453608,680.91,-0.55,9700000
P18-44,Linear TV Regional,4 Weeks,oneplus,0,P18-44Linear TV Regional4 Weeksoneplus0,0.242506955,622.55,-0.55,9700000
P18-44,Linear TV Metro 5 Cap Seven Network,4 Weeks,oneplus,0,P18-44Linear TV Metro 5 Cap Seven Network4 Weeksoneplus0,0.298330161,680.91,-0.55,9700000
P18-44,Linear TV Metro 5 Cap Nine Network,4 Weeks,oneplus,0,P18-44Linear TV Metro 5 Cap Nine Network4 Weeksoneplus0,0.311741738,680.91,-0.55,9700000
P18-44,Linear TV Metro 5 Cap Ten Network,4 Weeks,oneplus,0,P18-44Linear TV Metro 5 Cap Ten Network4 Weeksoneplus0,0.206335641,680.91,-0.55,9700000
P18-44,Linear TV Metro 5 Cap SBS Network,4 Weeks,oneplus,0,P18-44Linear TV Metro 5 Cap SBS Network4 Weeksoneplus0,0.094325942,680.91,-0.55,9700000
P18-44,Linear TV Regional 4 Seven Network,4 Weeks,oneplus,0,P18-44Linear TV Regional 4 Seven Network4 Weeksoneplus0,0.128220862,622.55,-0.55,9700000
P18-44,Linear TV Regional 4 Nine Network,4 Weeks,oneplus,0,P18-44Linear TV Regional 4 Nine Network4 Weeksoneplus0,0.133985093,622.55,-0.55,9700000
P18-44,Linear TV Regional 4 Ten Network,4 Weeks,oneplus,0,P18-44Linear TV Regional 4 Ten Network4 Weeksoneplus0,0.088682062,622.55,-0.55,9700000
P18-44,Linear TV Regional 4 SBS Network,4 Weeks,oneplus,0,P18-44Linear TV Regional 4 SBS Network4 Weeksoneplus0,0.040540834,622.55,-0.55,9700000
P18-44,Foxtel Linear,4 Weeks,oneplus,0,P18-44Foxtel Linear4 Weeksoneplus0,0.128998279,583.64,-0.55,9700000
P18-44,YouTube TrueView,4 Weeks,oneplus,0,P18-44YouTube TrueView4 Weeksoneplus0,0.73,52426.37,-0.85,9700000
P18-44,YouTube Instant Reserve,4 Weeks,oneplus,0,P18-44YouTube Instant Reserve4 Weeksoneplus0,0.716,1625.23,-0.55,9700000
P18-44,YouTube Select,4 Weeks,oneplus,0,P18-44YouTube Select4 Weeksoneplus0,0.483317006,14358.34,-0.75,9700000
P18-44,YouTube OMG Select,4 Weeks,oneplus,0,P18-44YouTube OMG Select4 Weeksoneplus0,0.314811912,156526.57,-0.98,9700000
P18-44,Nine Now,4 Weeks,oneplus,0,P18-44Nine Now4 Weeksoneplus0,0.200822884,2334.55,-0.55,9700000
P18-44,Ten Play,4 Weeks,oneplus,0,P18-44Ten Play4 Weeksoneplus0,0.096492947,1945.46,-0.55,9700000
P18-44,Seven Plus,4 Weeks,oneplus,0,P18-44Seven Plus4 Weeksoneplus0,0.069040252,1945.46,-0.55,9700000
P18-44,SBS On Demand,4 Weeks,oneplus,0,P18-44SBS On Demand4 Weeksoneplus0,0.05826439,1750.91,-0.55,9700000
P18-44,Kayo,4 Weeks,oneplus,0,P18-44Kayo4 Weeksoneplus0,0.181178902,1984.36,-0.55,9700000
P18-44,Foxtel Go,4 Weeks,oneplus,0,P18-44Foxtel Go4 Weeksoneplus0,0.073961599,1945.46,-0.55,9700000
P18-44,Binge,4 Weeks,oneplus,0,P18-44Binge4 Weeksoneplus0,0.041652342,2334.55,-0.55,9700000
P18-44,Netflix,4 Weeks,oneplus,0,P18-44Netflix4 Weeksoneplus0,0.069599747,1945.46,-0.82,9700000
P18-44,Optus Sport,4 Weeks,oneplus,0,P18-44Optus Sport4 Weeksoneplus0,0.069599747,1945.46,-0.9,9700000
P18-44,Amazon Prime,4 Weeks,oneplus,0,P18-44Amazon Prime4 Weeksoneplus0,0.166412949,1945.46,-0.8,9700000
P18-64,Linear TV Metro & Regional,4 Weeks,oneplus,0,P18-64Linear TV Metro & Regional4 Weeksoneplus0,0.806745396,695.74,-0.53,16000000
P18-64,Linear TV Metro,4 Weeks,oneplus,0,P18-64Linear TV Metro4 Weeksoneplus0,0.56423844,737.91,-0.53,16000000
P18-64,Linear TV Regional,4 Weeks,oneplus,0,P18-64Linear TV Regional4 Weeksoneplus0,0.242506955,674.66,-0.53,16000000
P18-64,Linear TV Metro 5 Cap Seven Network,4 Weeks,oneplus,0,P18-64Linear TV Metro 5 Cap Seven Network4 Weeksoneplus0,0.368525493,737.91,-0.53,16000000
P18-64,Linear TV Metro 5 Cap Nine Network,4 Weeks,oneplus,0,P18-64Linear TV Metro 5 Cap Nine Network4 Weeksoneplus0,0.385092736,737.91,-0.53,16000000
P18-64,Linear TV Metro 5 Cap Ten Network,4 Weeks,oneplus,0,P18-64Linear TV Metro 5 Cap Ten Network4 Weeksoneplus0,0.254885204,737.91,-0.53,16000000
P18-64,Linear TV Metro 5 Cap SBS Network,4 Weeks,oneplus,0,P18-64Linear TV Metro 5 Cap SBS Network4 Weeksoneplus0,0.116520282,737.91,-0.53,16000000
P18-64,Linear TV Regional 4 Seven Network,4 Weeks,oneplus,0,P18-64Linear TV Regional 4 Seven Network4 Weeksoneplus0,0.158390476,674.66,-0.53,16000000
P18-64,Linear TV Regional 4 Nine Network,4 Weeks,oneplus,0,P18-64Linear TV Regional 4 Nine Network4 Weeksoneplus0,0.165510997,674.66,-0.53,16000000
P18-64,Linear TV Regional 4 Ten Network,4 Weeks,oneplus,0,P18-64Linear TV Regional 4 Ten Network4 Weeksoneplus0,0.109548429,674.66,-0.53,16000000
P18-64,Linear TV Regional 4 SBS Network,4 Weeks,oneplus,0,P18-64Linear TV Regional 4 SBS Network4 Weeksoneplus0,0.050079854,674.66,-0.53,16000000
P18-64,Foxtel Linear,4 Weeks,oneplus,0,P18-64Foxtel Linear4 Weeksoneplus0,0.199294671,632.49,-0.53,16000000
P18-64,YouTube TrueView,4 Weeks,oneplus,0,P18-64YouTube TrueView4 Weeksoneplus0,0.737,62104.98,-0.85,16000000
P18-64,YouTube Instant Reserve,4 Weeks,oneplus,0,P18-64YouTube Instant Reserve4 Weeksoneplus0,0.69,1577.01,-0.53,16000000
P18-64,YouTube Select,4 Weeks,oneplus,0,P18-64YouTube Select4 Weeksoneplus0,0.483317006,36817.02,-0.81,16000000
P18-64,YouTube OMG Select,4 Weeks,oneplus,0,P18-64YouTube OMG Select4 Weeksoneplus0,0.314811912,158485.62,-0.97,16000000
P18-64,Nine Now,4 Weeks,oneplus,0,P18-64Nine Now4 Weeksoneplus0,0.200822884,2529.97,-0.53,16000000
P18-64,Ten Play,4 Weeks,oneplus,0,P18-64Ten Play4 Weeksoneplus0,0.096492947,2108.31,-0.53,16000000
P18-64,Seven Plus,4 Weeks,oneplus,0,P18-64Seven Plus4 Weeksoneplus0,0.09184953,2108.31,-0.53,16000000
P18-64,SBS On Demand,4 Weeks,oneplus,0,P18-64SBS On Demand4 Weeksoneplus0,0.068573668,1897.48,-0.53,16000000
P18-64,Kayo,4 Weeks,oneplus,0,P18-64Kayo4 Weeksoneplus0,0.160560345,2150.47,-0.53,16000000
P18-64,Foxtel Go,4 Weeks,oneplus,0,P18-64Foxtel Go4 Weeksoneplus0,0.073961599,2108.31,-0.53,16000000
P18-64,Binge,4 Weeks,oneplus,0,P18-64Binge4 Weeksoneplus0,0.031343064,2529.97,-0.53,16000000
P18-64,Netflix,4 Weeks,oneplus,0,P18-64Netflix4 Weeksoneplus0,0.048981191,2108.31,-0.82,16000000
P18-64,Optus Sport,4 Weeks,oneplus,0,P18-64Optus Sport4 Weeksoneplus0,0.048981191,2108.31,-0.9,16000000
P18-64,Amazon Prime,4 Weeks,oneplus,0,P18-64Amazon Prime4 Weeksoneplus0,0.145794393,2108.31,-0.8,16000000
P18+,Linear TV Metro & Regional,3 Weeks,oneplus,0,P18+Linear TV Metro & Regional3 Weeksoneplus0,0.726070856,12827.14,-0.84,20600000
P18+,Linear TV Metro,3 Weeks,oneplus,0,P18+Linear TV Metro3 Weeksoneplus0,0.507814596,13604.54,-0.84,20600000
P18+,Linear TV Regional,3 Weeks,oneplus,0,P18+Linear TV Regional3 Weeksoneplus0,0.218256259,12438.43,-0.84,20600000
P18+,Linear TV Metro 5 Cap Seven Network,3 Weeks,oneplus,0,P18+Linear TV Metro 5 Cap Seven Network3 Weeksoneplus0,0.347466894,13604.54,-0.84,20600000
P18+,Linear TV Metro 5 Cap Nine Network,3 Weeks,oneplus,0,P18+Linear TV Metro 5 Cap Nine Network3 Weeksoneplus0,0.363087436,13604.54,-0.84,20600000
P18+,Linear TV Metro 5 Cap Ten Network,3 Weeks,oneplus,0,P18+Linear TV Metro 5 Cap Ten Network3 Weeksoneplus0,0.240320335,13604.54,-0.84,20600000
P18+,Linear TV Metro 5 Cap SBS Network,3 Weeks,oneplus,0,P18+Linear TV Metro 5 Cap SBS Network3 Weeksoneplus0,0.10986198,13604.54,-0.84,20600000
P18+,Linear TV Regional 4 Seven Network,3 Weeks,oneplus,0,P18+Linear TV Regional 4 Seven Network3 Weeksoneplus0,0.149339592,12438.43,-0.84,20600000
