base_key,combo_key,demo,content_line_up_1,content_line_up_2,budget_set,base_reach,combined_reach,base_cpm,combined_cpm,cpm_change
P18+General Entertainment ,P18+General Entertainment Travel & Adventure ,P18+,General Entertainment ,Travel & Adventure ,500000,0.32,0.319,17.28,17.18,-0.005787037
P18+General Entertainment ,P18+General Entertainment Motion & Motors ,P18+,General Entertainment ,Motion & Motors ,500000,0.32,0.328,17.28,17.2,-0.00462963
P18+General Entertainment ,P18+General Entertainment Gaming Culture,P18+,General Entertainment ,Gaming Culture,500000,0.32,0.33,17.28,15.11,-0.125578704
P18+General Entertainment ,P18+General Entertainment Sport,P18+,General Entertainment ,Sport,500000,0.32,0.33,17.28,16.5,-0.045138889
P18+Travel & Adventure ,P18+Travel & Adventure Motion & Motors ,P18+,Travel & Adventure ,Motion & Motors ,500000,0.313,0.305,20.44,21.57,0.055283757
P18+Travel & Adventure ,P18+Travel & Adventure Gaming Culture,P18+,Travel & Adventure ,Gaming Culture,500000,0.313,0.272,20.44,18.84,-0.078277886
P18+Travel & Adventure ,P18+Travel & Adventure Sport,P18+,Travel & Adventure ,Sport,500000,0.313,0.277,20.44,19.93,-0.024951076
P18+Travel & Adventure ,P18+Travel & Adventure General Entertainment ,P18+,Travel & Adventure ,General Entertainment ,500000,0.313,0.319,20.44,17.18,-0.159491194
P18+Motion & Motors ,P18+Motion & Motors Travel & Adventure ,P18+,Motion & Motors ,Travel & Adventure ,500000,0.303,0.305,21.24,21.57,0.015536723
P18+Motion & Motors ,P18+Motion & Motors Gaming Culture,P18+,Motion & Motors ,Gaming Culture,500000,0.303,0.271,21.24,18.66,-0.121468927
P18+Motion & Motors ,P18+Motion & Motors Sport,P18+,Motion & Motors ,Sport,500000,0.303,0.285,21.24,19.01,-0.104990584
P18+Motion & Motors ,P18+Motion & Motors General Entertainment ,P18+,Motion & Motors ,General Entertainment ,500000,0.303,0.328,21.24,17.2,-0.190207156
P18+Gaming Culture,P18+Gaming CultureTravel & Adventure ,P18+,Gaming Culture,Travel & Adventure ,500000,0.259,0.272,19.72,18.84,-0.044624746
P18+Gaming Culture,P18+Gaming CultureMotion & Motors ,P18+,Gaming Culture,Motion & Motors ,500000,0.259,0.271,19.72,18.66,-0.053752535
P18+Gaming Culture,P18+Gaming CultureSport,P18+,Gaming Culture,Sport,500000,0.259,0.281,19.72,17.65,-0.104969574
