Demo,Channel 1,Channel 2,Overlap.Factor
P25-54,Linear TV Metro & Regional,Linear TV Metro,1
P25-54,Linear TV Metro & Regional,Linear TV Regional,1
P25-54,Linear TV Metro & Regional,Foxtel Linear,1
P25-54,Linear TV Metro & Regional,YouTube Select,1
P25-54,Linear TV Metro & Regional,Nine Now,1
P25-54,Linear TV Metro & Regional,Ten Play,1
P25-54,Linear TV Metro & Regional,Seven Plus,1
P25-54,Linear TV Metro & Regional,SBS On Demand,1
P25-54,Linear TV Metro & Regional,Kayo,1
P25-54,Linear TV Metro & Regional,Foxtel Go,1
P25-54,Linear TV Metro & Regional,Binge,1
P25-54,Linear TV Metro & Regional,Netflix,1
P25-54,Linear TV Metro,Linear TV Regional,1
P25-54,Linear TV Metro,Foxtel Linear,1
P25-54,Linear TV Metro,YouTube Select,1
P25-54,Linear TV Metro,Nine Now,1
P25-54,Linear TV Metro,Ten Play,1
P25-54,Linear TV Metro,Seven Plus,1
P25-54,Linear TV Metro,SBS On Demand,1
P25-54,Linear TV Metro,Kayo,1
P25-54,Linear TV Metro,Foxtel Go,1
P25-54,Linear TV Metro,Binge,1
P25-54,Linear TV Metro,Netflix,1
P25-54,Linear TV Regional,Foxtel Linear,1
P25-54,Linear TV Regional,YouTube Select,1
P25-54,Linear TV Regional,Nine Now,1
P25-54,Linear TV Regional,Ten Play,1
P25-54,Linear TV Regional,Seven Plus,1
P25-54,Linear TV Regional,SBS On Demand,1
P25-54,Linear TV Regional,Kayo,1
P25-54,Linear TV Regional,Foxtel Go,1
P25-54,Linear TV Regional,Binge,1
P25-54,Linear TV Regional,Netflix,1
P25-54,Foxtel Linear,YouTube Select,1
P25-54,Foxtel Linear,Nine Now,1
P25-54,Foxtel Linear,Ten Play,1
P25-54,Foxtel Linear,Seven Plus,1
P25-54,Foxtel Linear,SBS On Demand,1
P25-54,Foxtel Linear,Kayo,1
P25-54,Foxtel Linear,Foxtel Go,1
P25-54,Foxtel Linear,Binge,1
P25-54,Foxtel Linear,Netflix,1
P25-54,YouTube Select,Nine Now,1
P25-54,YouTube Select,Ten Play,1
P25-54,YouTube Select,Seven Plus,1
P25-54,YouTube Select,SBS On Demand,1
P25-54,YouTube Select,Kayo,1
P25-54,YouTube Select,Foxtel Go,1
P25-54,YouTube Select,Binge,1
P25-54,YouTube Select,Netflix,1
P25-54,Nine Now,Ten Play,1
P25-54,Nine Now,Seven Plus,1
P25-54,Nine Now,SBS On Demand,1
P25-54,Nine Now,Kayo,1
P25-54,Nine Now,Foxtel Go,1
P25-54,Nine Now,Binge,1
P25-54,Nine Now,Netflix,1
P25-54,Ten Play,Seven Plus,1
P25-54,Ten Play,SBS On Demand,1
P25-54,Ten Play,Kayo,1
P25-54,Ten Play,Foxtel Go,1
P25-54,Ten Play,Binge,1
P25-54,Ten Play,Netflix,1
P25-54,Seven Plus,SBS On Demand,1
P25-54,Seven Plus,Kayo,1
P25-54,Seven Plus,Foxtel Go,1
P25-54,Seven Plus,Binge,1
P25-54,Seven Plus,Netflix,1
P25-54,SBS On Demand,Kayo,1
P25-54,SBS On Demand,Foxtel Go,1
P25-54,SBS On Demand,Binge,1
P25-54,SBS On Demand,Netflix,1
P25-54,Kayo,Foxtel Go,1
P25-54,Kayo,Binge,1
P25-54,Kayo,Netflix,1
P25-54,Foxtel Go,Binge,1
P25-54,Foxtel Go,Netflix,1
P25-54,Binge,Netflix,1
P18+,Linear TV Metro & Regional,Linear TV Metro,1
P18+,Linear TV Metro & Regional,Linear TV Regional,1
P18+,Linear TV Metro & Regional,Foxtel Linear,1
P18+,Linear TV Metro & Regional,YouTube Select,1
P18+,Linear TV Metro & Regional,Nine Now,1
P18+,Linear TV Metro & Regional,Ten Play,1
P18+,Linear TV Metro & Regional,Seven Plus,1
P18+,Linear TV Metro & Regional,SBS On Demand,1
P18+,Linear TV Metro & Regional,Kayo,1
P18+,Linear TV Metro & Regional,Foxtel Go,1
P18+,Linear TV Metro & Regional,Binge,1
