Demographic,Platform,Weeks,Curve Frequency,Frequency Cap,Key,  A  , B , C , Potential ,D,Max Reach
P18+,Amazon Prime,1 Week,oneplus,0,P18+Amazon Prime4 Weeksoneplus0,0.075442763,7386.083321,-0.721948015,20600000,0,0.10395568
P18+,Amazon Prime,1 Week,twoplus,0,P18+Amazon Prime4 Weekstwoplus0,-0.784055692,0.540481752,-430827.5316,20600000,50254.0104,0
P18+,Amazon Prime,1 Week,threeplus,0,P18+Amazon Prime4 Weeksthreeplus0,-0.679889318,0.47252383,-603013.0513,20600000,79463.13056,0
P18+,Amazon Prime,1 Week,fourplus,0,P18+Amazon Prime4 Weeksfourplus0,-0.552015065,0.389607353,-748912.1924,20600000,117133.809,0
P18+,Amazon Prime,1 Week,fiveplus,0,P18+Amazon Prime4 Weeksfiveplus0,-0.382917446,0.280920512,-887850.3674,20600000,190192.3661,0
P18+,Amazon Prime,1 Week,sixplus,0,P18+Amazon Prime4 Weekssixplus0,-0.383880013,0.280806743,-1037028.564,20600000,218926.9509,0
P18+,Amazon Prime,1 Week,sevenplus,0,P18+Amazon Prime4 Weekssevenplus0,-0.078805716,0.072765172,-1023551.503,20600000,559444.6061,0
P18+,Amazon Prime,1 Week,eightplus,0,P18+Amazon Prime4 Weekseightplus0,-0.010722018,0.021611381,-647801.7411,20600000,1274024.11,0
P18+,Amazon Prime,1 Week,nineplus,0,P18+Amazon Prime4 Weeksnineplus0,-0.003061575,0.01180328,-359135.1546,20600000,1542879.93,0
P18+,Amazon Prime,10 Weeks,oneplus,0,P18+Amazon Prime4 Weeksoneplus0,0.144436644,7386.083321,-0.721948015,20600000,0,0.10395568
P18+,Amazon Prime,10 Weeks,twoplus,0,P18+Amazon Prime4 Weekstwoplus0,-1.501089941,1.034762873,-430827.5316,20600000,50254.0104,0
P18+,Amazon Prime,10 Weeks,threeplus,0,P18+Amazon Prime4 Weeksthreeplus0,-1.301661382,0.904656104,-603013.0513,20600000,79463.13056,0
P18+,Amazon Prime,10 Weeks,fourplus,0,P18+Amazon Prime4 Weeksfourplus0,-1.056843626,0.745910889,-748912.1924,20600000,117133.809,0
P18+,Amazon Prime,10 Weeks,fiveplus,0,P18+Amazon Prime4 Weeksfiveplus0,-0.733102932,0.537827808,-887850.3674,20600000,190192.3661,0
P18+,Amazon Prime,10 Weeks,sixplus,0,P18+Amazon Prime4 Weekssixplus0,-0.734945785,0.537609995,-1037028.564,20600000,218926.9509,0
P18+,Amazon Prime,10 Weeks,sevenplus,0,P18+Amazon Prime4 Weekssevenplus0,-0.150875084,0.139310343,-1023551.503,20600000,559444.6061,0
P18+,Amazon Prime,10 Weeks,eightplus,0,P18+Amazon Prime4 Weekseightplus0,-0.020527513,0.041375412,-647801.7411,20600000,1274024.11,0
P18+,Amazon Prime,10 Weeks,nineplus,0,P18+Amazon Prime4 Weeksnineplus0,-0.005861445,0.022597609,-359135.1546,20600000,1542879.93,0
P18+,Amazon Prime,11 Weeks,oneplus,0,P18+Amazon Prime4 Weeksoneplus0,0.147576571,7386.083321,-0.721948015,20600000,0,0.10395568
P18+,Amazon Prime,11 Weeks,twoplus,0,P18+Amazon Prime4 Weekstwoplus0,-1.533722331,1.057257718,-430827.5316,20600000,50254.0104,0
P18+,Amazon Prime,11 Weeks,threeplus,0,P18+Amazon Prime4 Weeksthreeplus0,-1.329958368,0.924322542,-603013.0513,20600000,79463.13056,0
P18+,Amazon Prime,11 Weeks,fourplus,0,P18+Amazon Prime4 Weeksfourplus0,-1.079818488,0.762126343,-748912.1924,20600000,117133.809,0
P18+,Amazon Prime,11 Weeks,fiveplus,0,P18+Amazon Prime4 Weeksfiveplus0,-0.749039952,0.549519716,-887850.3674,20600000,190192.3661,0
P18+,Amazon Prime,11 Weeks,sixplus,0,P18+Amazon Prime4 Weekssixplus0,-0.750922867,0.549297169,-1037028.564,20600000,218926.9509,0
